,DEPARTAMENTO,PROVINCIA,DISTRITO,Ollanta1,Ollanta2,key,redpub_porc,dni_porc,elec_porc,salud_porc,edu_porc,trabajo_porc,Ollanta_1a_Vuelta,Ollanta_2a_Vuelta,estado_dni,estado_salud,estado_agua,estado_electricidad,ciudadania_educacion,ciudadania_trabajo,presencia_estado
849,HUANCAVELICA,TAYACAJA,TINTAY PUNCU,0.6089385474860335,0.7418831168831169,TAYACAJA_TINTAY PUNCU,0.19212295869356388,93.40849956634865,22.67050912584054,39.68981318293972,32.15002508780733,6.111929307805596,Mas50%,Mas50%,3,2,1,1,25_50%,<25%,1.Baja
850,HUANCAVELICA,TAYACAJA,SALCAHUASI,0.5663716814159292,0.6353039134054954,TAYACAJA_SALCAHUASI,5.180840664711632,93.18290926548246,52.785923753665685,46.00889819419,25.890868596881962,7.684729064039408,Mas50%,Mas50%,3,2,1,2,25_50%,<25%,1.Baja
851,HUANCAVELICA,HUAYTARA,AYAVI,0.3456221198156682,0.5,HUAYTARA_AYAVI,40.666666666666664,95.86466165413535,46.0,33.53733170134639,42.153047989623865,12.719298245614036,<50%,<50%,3,2,2,2,25_50%,<25%,2.Media
852,HUANCAVELICA,HUAYTARA,CORDOVA,0.37480798771121354,0.583989501312336,HUAYTARA_CORDOVA,34.750462107208875,98.31019915509958,59.88909426987061,53.736316039980956,50.51445369916707,13.060582218725415,<50%,Mas50%,3,2,2,2,mas50%,<25%,2.Media
853,HUANCAVELICA,HUAYTARA,HUAYACUNDO ARMA,0.4642857142857143,0.6536964980544747,HUAYTARA_HUAYACUNDO ARMA,60.273972602739725,97.58620689655172,60.95890410958904,37.028824833702885,39.34426229508197,19.81981981981982,<50%,Mas50%,3,2,2,2,25_50%,<25%,2.Media
854,HUANCAVELICA,HUAYTARA,HUAYTARA,0.25724976613657624,0.4533678756476684,HUAYTARA_HUAYTARA,30.8411214953271,98.23321554770318,73.98753894080997,36.81636282792352,45.08313539192399,22.553699284009546,<50%,<50%,3,2,2,2,25_50%,<25%,2.Media
855,HUANCAVELICA,HUAYTARA,LARAMARCA,0.35,0.46474358974358976,HUAYTARA_LARAMARCA,44.13793103448276,96.46539027982327,41.37931034482759,23.46153846153846,35.750251762336354,8.35164835164835,<50%,<50%,3,1,2,2,25_50%,<25%,1.Baja
856,HUANCAVELICA,HUAYTARA,OCOYO,0.40350877192982454,0.5226480836236934,HUAYTARA_OCOYO,19.906323185011708,97.24292101341283,38.64168618266979,51.8674381904261,42.94377067254686,4.314477468839885,<50%,Mas50%,3,2,1,2,25_50%,<25%,1.Baja
857,HUANCAVELICA,HUAYTARA,PILPICHACA,0.49096573208722744,0.6436343852013058,HUAYTARA_PILPICHACA,0.30120481927710846,97.96131730266598,23.694779116465863,51.29575207053166,23.998830751242327,6.862745098039216,<50%,Mas50%,3,2,1,1,<25%,<25%,1.Baja
858,HUANCAVELICA,HUAYTARA,QUERCO,0.2737642585551331,0.46701846965699206,HUAYTARA_QUERCO,33.83458646616541,93.16770186335404,33.08270676691729,36.904761904761905,32.40857503152585,13.750000000000002,<50%,<50%,3,2,2,2,25_50%,<25%,2.Media
859,HUANCAVELICA,HUAYTARA,QUITO-ARMA,0.42592592592592593,0.626,HUAYTARA_QUITO-ARMA,0.0,93.21100917431193,27.77777777777778,35.07377979568672,30.77858880778589,8.724832214765101,<50%,Mas50%,3,2,1,2,25_50%,<25%,1.Baja
860,HUANCAVELICA,HUAYTARA,SAN ANTONIO DE CUSICANCHA,0.27921092564491656,0.3827930174563591,HUAYTARA_SAN ANTONIO DE CUSICANCHA,0.0,96.45476772616138,21.379310344827587,53.711526855763424,23.33767926988266,9.82367758186398,<50%,<50%,3,2,1,1,<25%,<25%,1.Baja
861,HUANCAVELICA,HUAYTARA,SAN FRANCISCO DE SANGAYAICO,0.40226628895184136,0.5412844036697247,HUAYTARA_SAN FRANCISCO DE SANGAYAICO,23.161764705882355,94.75728155339806,35.294117647058826,35.07917174177832,37.29246487867178,10.13986013986014,<50%,Mas50%,3,2,1,2,25_50%,<25%,1.Baja
862,HUANCAVELICA,HUAYTARA,SAN ISIDRO,0.35128205128205126,0.4598825831702544,HUAYTARA_SAN ISIDRO,61.904761904761905,96.23149394347242,49.45054945054945,12.028725314183124,39.61038961038961,26.666666666666668,<50%,<50%,3,1,2,2,25_50%,25_50%,1.Baja
863,HUANCAVELICA,HUAYTARA,SANTIAGO DE CHOCORVOS,0.3333333333333333,0.46511627906976744,HUAYTARA_SANTIAGO DE CHOCORVOS,14.15182755388941,95.33300923675256,25.117150890346768,39.77374218517416,27.788279773156898,8.167613636363637,<50%,<50%,3,2,1,2,25_50%,<25%,1.Baja
864,HUANCAVELICA,HUAYTARA,SANTIAGO DE QUIRAHUARA,0.5114942528735632,0.7247706422018348,HUAYTARA_SANTIAGO DE QUIRAHUARA,16.3265306122449,94.16243654822335,30.612244897959183,33.95415472779369,30.045523520485585,16.89189189189189,Mas50%,Mas50%,3,2,1,2,25_50%,<25%,1.Baja
865,HUANCAVELICA,HUAYTARA,SANTO DOMINGO DE CAPILLAS,0.3450413223140496,0.49101796407185627,HUAYTARA_SANTO DOMINGO DE CAPILLAS,25.61307901907357,96.80111265646731,46.86648501362398,28.02960222016651,36.399217221135025,9.523809523809524,<50%,<50%,3,2,2,2,25_50%,<25%,2.Media
866,HUANCAVELICA,HUAYTARA,TAMBO,0.34032634032634035,0.4634146341463415,HUAYTARA_TAMBO,18.333333333333332,96.36871508379889,50.83333333333333,32.82149712092131,36.12774451097805,19.205298013245034,<50%,<50%,3,2,1,2,25_50%,<25%,1.Baja
867,HUANCAVELICA,CHURCAMPA,CHURCAMPA,0.5902912621359223,0.6923417441345728,CHURCAMPA_CHURCAMPA,26.73206621704476,97.46915533059159,55.42611894543224,47.4496644295302,27.666908563134978,15.69767441860465,Mas50%,Mas50%,3,2,2,2,25_50%,<25%,2.Media
868,HUANCAVELICA,CHURCAMPA,ANCO,0.6053897978825794,0.7172131147540983,CHURCAMPA_ANCO,2.970679012345679,96.50123597642137,43.20987654320987,48.19121447028424,19.290107895532923,4.115853658536586,Mas50%,Mas50%,3,2,1,2,<25%,<25%,1.Baja
869,HUANCAVELICA,CHURCAMPA,CHINCHIHUASI,0.5847826086956521,0.7461005199306759,CHURCAMPA_CHINCHIHUASI,1.2149532710280373,96.60729431721798,50.280373831775705,45.24897213339425,30.029368575624083,5.674846625766871,Mas50%,Mas50%,3,2,1,2,25_50%,<25%,1.Baja
